Price,date,vix
Ticker,,^VIX
0,2000-01-03,24.209999084472656
1,2000-01-04,27.010000228881836
2,2000-01-05,26.40999984741211
3,2000-01-06,25.729999542236328
4,2000-01-07,21.719999313354492
5,2000-01-10,21.709999084472656
6,2000-01-11,22.5
7,2000-01-12,22.84000015258789
8,2000-01-13,21.709999084472656
9,2000-01-14,19.65999984741211
10,2000-01-18,21.5
11,2000-01-19,21.719999313354492
12,2000-01-20,21.75
13,2000-01-21,20.81999969482422
14,2000-01-24,24.06999969482422
15,2000-01-25,23.020000457763672
16,2000-01-26,23.030000686645508
17,2000-01-27,23.540000915527344
18,2000-01-28,26.139999389648438
19,2000-01-31,24.950000762939453
20,2000-02-01,23.450000762939453
21,2000-02-02,23.1200008392334
22,2000-02-03,22.010000228881836
23,2000-02-04,21.540000915527344
24,2000-02-07,22.790000915527344
25,2000-02-08,21.25
26,2000-02-09,22.899999618530273
27,2000-02-10,23.06999969482422
28,2000-02-11,24.420000076293945
29,2000-02-14,24.3799991607666
30,2000-02-15,22.920000076293945
31,2000-02-16,23.510000228881836
32,2000-02-17,23.170000076293945
33,2000-02-18,26.0
34,2000-02-22,25.860000610351562
35,2000-02-23,23.889999389648438
36,2000-02-24,24.3799991607666
37,2000-02-25,25.200000762939453
38,2000-02-28,24.68000030517578
39,2000-02-29,23.3700008392334
40,2000-03-01,21.639999389648438
41,2000-03-02,21.059999465942383
42,2000-03-03,19.209999084472656
43,2000-03-06,21.5
44,2000-03-07,24.309999465942383
45,2000-03-08,23.81999969482422
46,2000-03-09,22.209999084472656
47,2000-03-10,21.239999771118164
48,2000-03-13,22.850000381469727
49,2000-03-14,24.40999984741211
50,2000-03-15,22.34000015258789
51,2000-03-16,20.770000457763672
52,2000-03-17,22.3700008392334
53,2000-03-20,22.959999084472656
54,2000-03-21,21.700000762939453
55,2000-03-22,21.489999771118164
56,2000-03-23,22.260000228881836
57,2000-03-24,23.309999465942383
58,2000-03-27,24.530000686645508
59,2000-03-28,24.860000610351562
60,2000-03-29,24.100000381469727
61,2000-03-30,25.469999313354492
62,2000-03-31,24.110000610351562
63,2000-04-03,24.030000686645508
64,2000-04-04,27.1200008392334
65,2000-04-05,28.40999984741211
66,2000-04-06,27.149999618530273
67,2000-04-07,24.389999389648438
68,2000-04-10,25.989999771118164
69,2000-04-11,27.25
70,2000-04-12,28.979999542236328
71,2000-04-13,29.399999618530273
72,2000-04-14,33.4900016784668
73,2000-04-17,28.950000762939453
74,2000-04-18,26.1200008392334
75,2000-04-19,27.020000457763672
76,2000-04-20,25.850000381469727
77,2000-04-24,27.3700008392334
78,2000-04-25,25.239999771118164
79,2000-04-26,26.969999313354492
80,2000-04-27,26.190000534057617
81,2000-04-28,26.200000762939453
82,2000-05-01,25.8799991607666
83,2000-05-02,28.5
84,2000-05-03,31.6299991607666
85,2000-05-04,30.770000457763672
86,2000-05-05,27.530000686645508
87,2000-05-08,28.200000762939453
88,2000-05-09,28.93000030517578
89,2000-05-10,29.8700008392334
90,2000-05-11,27.760000228881836
91,2000-05-12,26.049999237060547
92,2000-05-15,24.860000610351562
93,2000-05-16,24.34000015258789
94,2000-05-17,23.979999542236328
95,2000-05-18,23.959999084472656
96,2000-05-19,25.440000534057617
97,2000-05-22,26.0
98,2000-05-23,25.8700008392334
99,2000-05-24,24.31999969482422
100,2000-05-25,24.579999923706055
101,2000-05-26,24.469999313354492
102,2000-05-30,23.6200008392334
103,2000-05-31,23.649999618530273
104,2000-06-01,22.360000610351562
105,2000-06-02,21.479999542236328
106,2000-06-05,22.709999084472656
107,2000-06-06,23.049999237060547
108,2000-06-07,22.479999542236328
109,2000-06-08,22.770000457763672
110,2000-06-09,22.139999389648438
111,2000-06-12,22.31999969482422
112,2000-06-13,21.670000076293945
113,2000-06-14,21.479999542236328
114,2000-06-15,20.68000030517578
115,2000-06-16,20.5
116,2000-06-19,20.6299991607666
117,2000-06-20,20.8799991607666
118,2000-06-21,20.610000610351562
119,2000-06-22,22.0
